UTC(HH:MM:SS),PRN,El(deg),C/N0(dB-Hz),S4c,STEC(TECU),ROTI(TECU/min),VTEC(TECU),raw_P1(m),raw_P2(m)
06:52:00,G08,66.8,44.0,0.047,124.52,nan,49.05,48853.860,48866.940
06:52:01,G09,56.0,44.0,0.048,123.76,nan,69.20,45512.840,45525.840
06:52:01,G02,36.6,42.0,0.055,94.05,nan,75.51,268721.880,268731.760
06:52:01,G27,33.7,40.0,0.056,150.79,nan,125.45,244973.340,244989.180
06:52:01,G04,62.0,44.0,0.047,99.96,nan,46.93,262552.640,262563.140
06:52:01,G08,66.7,44.0,0.046,124.52,nan,49.25,49151.920,49165.000
06:52:02,G09,56.1,46.0,0.049,123.76,nan,69.02,45443.060,45456.060
06:52:02,G02,36.6,44.0,0.056,94.05,nan,75.51,268377.720,268387.600
06:52:02,G27,33.7,43.0,0.057,150.98,nan,125.61,245568.980,245584.840
06:52:02,G04,62.0,46.0,0.048,99.96,nan,46.93,262881.340,262891.840
06:52:02,G08,66.7,47.0,0.047,124.52,nan,49.25,49450.120,49463.200
06:52:03,G09,56.1,45.0,0.049,123.56,nan,68.92,45373.440,45386.420
06:52:03,G02,36.6,43.0,0.056,94.05,nan,75.51,268033.660,268043.540
06:52:03,G27,33.6,42.0,0.057,150.98,nan,125.76,246164.700,246180.560
06:52:03,G04,62.0,45.0,0.048,100.15,nan,47.02,263210.160,263220.680
06:52:03,G08,66.7,45.0,0.047,124.71,nan,49.33,49748.440,49761.540
06:52:04,G09,56.1,45.0,0.048,123.76,nan,69.02,45303.940,45316.940
06:52:04,G02,36.6,44.0,0.055,94.24,nan,75.66,267689.680,267699.580
06:52:04,G27,33.6,42.0,0.056,150.98,nan,125.76,246760.520,246776.380
06:52:04,G04,62.0,45.0,0.047,100.15,nan,47.02,263539.100,263549.620
06:52:04,G08,66.7,46.0,0.047,124.52,nan,49.25,50046.900,50059.980
06:52:05,G09,56.1,45.0,0.047,123.76,nan,69.02,45234.600,45247.600
06:52:05,G02,36.6,43.0,0.053,94.43,nan,75.81,267345.760,267355.680
06:52:05,G27,33.6,42.0,0.054,150.98,nan,125.76,247356.400,247372.260
06:52:05,G04,62.0,45.0,0.046,100.34,nan,47.11,263868.160,263878.700
06:52:05,G08,66.7,45.0,0.044,124.71,nan,49.33,50345.460,50358.560
06:52:06,G09,56.1,45.0,0.046,123.76,nan,69.02,45165.360,45178.360
06:52:06,G02,36.6,43.0,0.052,94.24,nan,75.66,267001.920,267011.820
06:52:06,G27,33.6,41.0,0.053,150.79,nan,125.60,247952.360,247968.200
06:52:06,G04,62.0,45.0,0.045,100.34,nan,47.11,264197.320,264207.860
06:52:06,G08,66.7,45.0,0.043,124.90,nan,49.40,50644.120,50657.240
06:52:07,G09,56.1,48.0,0.046,123.76,nan,69.02,45096.240,45109.240
06:52:07,G02,36.6,47.0,0.053,94.43,nan,75.81,266658.120,266668.040
06:52:07,G27,33.6,45.0,0.054,150.98,nan,125.76,248548.340,248564.200
06:52:07,G04,62.0,48.0,0.045,100.34,nan,47.11,264526.600,264537.140
06:52:07,G08,66.7,49.0,0.045,125.09,nan,49.48,50942.900,50956.040
06:52:08,G09,56.1,47.0,0.045,123.76,nan,69.02,45027.280,45040.280
06:52:08,G02,36.6,46.0,0.051,94.43,nan,75.81,266314.400,266324.320
06:52:08,G27,33.6,44.0,0.053,151.17,nan,125.91,249144.400,249160.280
06:52:08,G04,62.0,47.0,0.043,100.34,nan,47.11,264856.000,264866.540
06:52:08,G08,66.7,48.0,0.043,125.09,nan,49.48,51241.800,51254.940
06:52:09,G09,56.1,47.0,0.038,123.56,nan,68.92,44958.440,44971.420
06:52:09,G02,36.6,46.0,0.044,94.43,nan,75.81,265970.760,265980.680
06:52:09,G27,33.6,44.0,0.045,151.17,nan,125.91,249740.540,249756.420
06:52:09,G04,62.0,47.0,0.036,100.34,nan,47.11,265185.520,265196.060
